FIPSCd,CountyName,StateCd,UnemploymentPct,PovertyPct,EducBachlOrHigherPct,PercentDem,PercentRep
36069.0,,,0.045,0.09300000000000001,0.337,42.4,51.1
36071.0,,,0.045,0.109,0.295,44.8,51.2
36073.0,,,0.059000000000000004,0.152,0.159,25.9,69.3
36075.0,,,0.065,0.163,0.18300000000000002,35.4,58.6
36077.0,,,0.05,0.131,0.29600000000000004,40.3,53.4
36079.0,,,0.042,0.054000000000000006,0.385,39.3,57.1
36081.0,,,0.04,0.122,0.308,75.5,22.1
36083.0,,,0.044000000000000004,0.115,0.298,45.5,48.4
36085.0,,,0.047,0.11900000000000001,0.321,40.4,57.2
36087.0,,,0.043,0.133,0.40399999999999997,51.2,46.1
36089.0,,,0.067,0.189,0.231,41.7,52.5
36091.0,,,0.04,0.066,0.40399999999999997,44.7,49.1
36093.0,,,0.045,0.128,0.308,50.1,44.2
36095.0,,,0.055,0.139,0.21600000000000003,29.8,64.5
36097.0,,,0.057999999999999996,0.139,0.22100000000000003,32.8,61.5
36099.0,,,0.045,0.12,0.20500000000000002,40.7,52.8
36101.0,,,0.057,0.128,0.226,29.2,65.4
36103.0,,,0.045,0.07,0.35000000000000003,44.3,52.5
36105.0,,,0.049,0.149,0.23399999999999999,41.4,55.2
36107.0,,,0.051,0.099,0.247,33.3,60.9
36109.0,,,0.043,0.18600000000000003,0.526,67.7,25.6
36111.0,,,0.045,0.13699999999999998,0.314,51.9,42.7
36113.0,,,0.053,0.09699999999999999,0.29300000000000004,41.2,51.8
36115.0,,,0.046,0.11699999999999999,0.198,36.8,57.0
36117.0,,,0.05,0.121,0.217,33.8,59.9
36119.0,,,0.045,0.085,0.47700000000000004,64.9,32.1
36121.0,,,0.055999999999999994,0.11199999999999999,0.154,22.0,73.0
36123.0,,,0.044000000000000004,0.139,0.239,35.9,57.7
37001.0,,,0.042,0.14400000000000002,0.22899999999999998,42.3,55.2
37003.0,,,0.036000000000000004,0.11699999999999999,0.139,20.8,76.8
37005.0,,,0.05,0.209,0.187,24.9,72.7
37007.0,,,0.051,0.222,0.092,55.7,43.1
37009.0,,,0.040999999999999995,0.159,0.195,26.4,71.1
37011.0,,,0.043,0.18600000000000003,0.20199999999999999,20.7,77.2
37013.0,,,0.05,0.22,0.196,36.9,61.4
37015.0,,,0.059000000000000004,0.272,0.12300000000000001,62.2,37.1
37017.0,,,0.057999999999999996,0.207,0.145,44.6,54.1
37019.0,,,0.055999999999999994,0.11900000000000001,0.28,34.4,63.1
37021.0,,,0.034,0.115,0.385,55.7,41.1
37023.0,,,0.042,0.166,0.167,29.0,68.4
37025.0,,,0.040999999999999995,0.111,0.3,38.5,58.5
37027.0,,,0.044000000000000004,0.163,0.14800000000000002,23.5,74.1
37029.0,,,0.043,0.08,0.18100000000000002,25.6,71.4
37031.0,,,0.044000000000000004,0.133,0.267,26.6,71.0
37033.0,,,0.047,0.193,0.13699999999999998,43.3,54.8
37035.0,,,0.040999999999999995,0.125,0.215,29.6,67.6
37037.0,,,0.038,0.10300000000000001,0.401,53.6,43.5
37039.0,,,0.049,0.172,0.192,20.3,77.3
37041.0,,,0.052000000000000005,0.17600000000000002,0.19,41.7,56.0
37043.0,,,0.049,0.154,0.231,23.0,74.7
37045.0,,,0.046,0.188,0.165,33.7,64.3
37047.0,,,0.054000000000000006,0.231,0.125,38.3,60.4
37049.0,,,0.046,0.163,0.24300000000000002,37.8,59.6
37051.0,,,0.057,0.18600000000000003,0.24300000000000002,56.7,40.7
37053.0,,,0.043,0.107,0.22899999999999998,23.2,73.0
37055.0,,,0.059000000000000004,0.094,0.298,37.2,59.4
37057.0,,,0.043,0.152,0.18100000000000002,24.1,73.4
37059.0,,,0.039,0.122,0.23,24.5,72.6
37061.0,,,0.048,0.207,0.10800000000000001,39.8,59.0
37063.0,,,0.04,0.157,0.473,78.9,18.5
37065.0,,,0.076,0.255,0.11599999999999999,65.5,33.3
37067.0,,,0.043,0.166,0.33799999999999997,53.6,43.4
37069.0,,,0.046,0.157,0.21,42.8,54.6
37071.0,,,0.046,0.151,0.20500000000000002,32.7,64.8
37073.0,,,0.044000000000000004,0.157,0.157,44.5,53.5
37075.0,,,0.068,0.18100000000000002,0.142,18.6,79.6
37077.0,,,0.038,0.126,0.21,47.6,50.1
37079.0,,,0.044000000000000004,0.276,0.098,44.6,54.4
37081.0,,,0.047,0.145,0.349,58.7,38.7
37083.0,,,0.07200000000000001,0.281,0.14,62.9,36.0
37085.0,,,0.051,0.16399999999999998,0.203,36.6,60.7
37087.0,,,0.04,0.145,0.24300000000000002,34.5,62.5
37089.0,,,0.038,0.107,0.312,34.6,62.6
37091.0,,,0.057,0.244,0.153,68.2,30.5
37093.0,,,0.057,0.159,0.18300000000000002,53.8,43.0
37095.0,,,0.084,0.219,0.07200000000000001,42.1,56.1
37097.0,,,0.042,0.113,0.269,30.3,67.1
37099.0,,,0.047,0.17,0.305,42.0,53.9
37101.0,,,0.040999999999999995,0.151,0.217,33.3,64.0
37103.0,,,0.044000000000000004,0.223,0.142,40.5,58.4
37105.0,,,0.051,0.14800000000000002,0.212,42.1,55.2
37107.0,,,0.044000000000000004,0.247,0.135,46.1,52.4
37109.0,,,0.04,0.125,0.20199999999999999,24.9,72.6
37111.0,,,0.04,0.162,0.159,23.8,74.2
37113.0,,,0.046,0.162,0.222,27.9,69.4
37115.0,,,0.042,0.17600000000000002,0.259,35.6,61.4
37117.0,,,0.055999999999999994,0.20500000000000002,0.158,49.1,49.6
37119.0,,,0.043,0.114,0.441,63.3,33.4
37121.0,,,0.052000000000000005,0.167,0.18100000000000002,19.9,78.3
37123.0,,,0.045,0.17800000000000002,0.14,35.9,61.8
37125.0,,,0.044000000000000004,0.107,0.36,33.8,63.4
37127.0,,,0.06,0.158,0.203,49.1,49.3
37129.0,,,0.040999999999999995,0.155,0.389,46.2,50.3
37131.0,,,0.062000000000000006,0.24300000000000002,0.128,62.6,36.4
37133.0,,,0.052000000000000005,0.135,0.20199999999999999,31.0,65.6
37135.0,,,0.037000000000000005,0.134,0.5760000000000001,74.0,23.0
37137.0,,,0.046,0.174,0.19399999999999998,35.8,62.4
37139.0,,,0.055,0.20199999999999999,0.204,49.8,47.6
37141.0,,,0.046,0.126,0.256,33.6,64.0
37143.0,,,0.055999999999999994,0.18,0.197,34.7,62.8
37145.0,,,0.046,0.151,0.153,40.3,57.6
37147.0,,,0.048,0.217,0.309,52.3,45.0
37149.0,,,0.040999999999999995,0.125,0.319,34.6,62.8
37151.0,,,0.043,0.158,0.153,20.6,77.3
37153.0,,,0.06,0.24800000000000003,0.14300000000000002,44.1,54.2
37155.0,,,0.065,0.29,0.128,46.6,51.4
37157.0,,,0.051,0.163,0.147,34.0,64.0
